,negative,neutral,positive,volume,close
285,0.0,0.0,1.0,0.18157241564365734,0.12049958135640526
286,0.0,1.0,0.0,0.18157241564365734,0.12049958135640526
287,0.0,1.0,0.0,0.18157241564365734,0.12049958135640526
288,0.0,0.0,1.0,0.18157241564365734,0.12049958135640526
289,0.0,0.0,1.0,0.18157241564365734,0.12049958135640526
290,0.0,0.0,1.0,0.18157241564365734,0.12049958135640526
291,0.0,0.0,1.0,0.18157241564365734,0.12049958135640526
292,1.0,0.0,0.0,0.18157241564365734,0.12049958135640526
293,1.0,0.0,0.0,0.18157241564365734,0.12049958135640526
294,0.0,1.0,0.0,0.18157241564365734,0.12049958135640526
295,0.0,0.0,1.0,0.18157241564365734,0.12049958135640526
296,1.0,0.0,0.0,0.18157241564365734,0.12049958135640526
297,1.0,0.0,0.0,0.18157241564365734,0.12049958135640526
298,1.0,0.0,0.0,0.18157241564365734,0.12049958135640526
299,1.0,0.0,0.0,0.18157241564365734,0.12049958135640526
300,0.0,0.0,1.0,0.18157241564365734,0.12049958135640526
301,0.0,0.0,1.0,0.18157241564365734,0.12049958135640526
302,0.0,1.0,0.0,0.18157241564365734,0.12049958135640526
303,0.0,0.0,1.0,0.18157241564365734,0.12049958135640526
304,0.0,0.0,1.0,0.18157241564365734,0.12049958135640526
305,1.0,0.0,0.0,0.18157241564365734,0.12049958135640526
306,1.0,0.0,0.0,0.18157241564365734,0.12049958135640526
307,0.0,1.0,0.0,0.18157241564365734,0.12049958135640526
308,0.0,1.0,0.0,0.18157241564365734,0.12049958135640526
309,0.0,1.0,0.0,0.18157241564365734,0.12049958135640526
310,1.0,0.0,0.0,0.18157241564365734,0.12049958135640526
311,0.0,0.0,1.0,0.18157241564365734,0.12049958135640526
312,0.0,0.0,1.0,0.18157241564365734,0.12049958135640526
313,1.0,0.0,0.0,0.18157241564365734,0.12049958135640526
314,0.0,0.0,1.0,0.18157241564365734,0.12049958135640526
315,1.0,0.0,0.0,0.18157241564365734,0.12049958135640526
316,0.0,0.0,1.0,0.18157241564365734,0.12049958135640526
317,0.0,1.0,0.0,0.18157241564365734,0.12049958135640526
318,0.0,0.0,1.0,0.18157241564365734,0.12049958135640526
319,1.0,0.0,0.0,0.18157241564365734,0.12049958135640526
320,1.0,0.0,0.0,0.18157241564365734,0.12049958135640526
321,1.0,0.0,0.0,0.18157241564365734,0.12049958135640526
322,0.0,0.0,0.0,0.18157241564365734,0.12049958135640526
323,0.0,0.0,1.0,0.18157241564365734,0.12049958135640526
324,0.0,0.0,1.0,0.18157241564365734,0.12049958135640526
325,0.0,1.0,0.0,0.18157241564365734,0.12049958135640526
326,1.0,0.0,0.0,0.18157241564365734,0.12049958135640526
327,0.0,0.0,1.0,0.18157241564365734,0.12049958135640526
328,0.0,1.0,0.0,0.18157241564365734,0.12049958135640526
329,0.0,0.0,0.0,0.18157241564365734,0.12049958135640526
330,0.0,0.0,1.0,0.18157241564365734,0.12049958135640526
331,1.0,0.0,0.0,0.18157241564365734,0.12049958135640526
332,1.0,0.0,0.0,0.18157241564365734,0.12049958135640526
333,0.0,0.0,1.0,0.18157241564365734,0.12049958135640526
334,0.0,0.0,1.0,0.18157241564365734,0.12049958135640526
335,1.0,0.0,0.0,0.18157241564365734,0.12049958135640526
336,1.0,0.0,0.0,0.18157241564365734,0.12049958135640526
337,0.0,1.0,0.0,0.18157241564365734,0.12049958135640526
338,1.0,0.0,0.0,0.18157241564365734,0.12049958135640526
339,0.0,0.0,1.0,0.18157241564365734,0.12049958135640526
340,1.0,0.0,0.0,0.18157241564365734,0.12049958135640526
341,0.0,1.0,0.0,0.18157241564365734,0.12049958135640526
342,1.0,0.0,0.0,0.18157241564365734,0.12049958135640526
343,1.0,0.0,0.0,0.18157241564365734,0.12049958135640526
344,1.0,0.0,0.0,0.18157241564365734,0.12049958135640526
